Date,Category,Region_ID,Quantity,Sales_Channel,Sales_Amount,Cost_of_Goods,Brand Name,Product Name,Region_Name,Profit,Sales_Channel_ID,Product_ID
2023-01-01,Furniture,R3,2,Online,46559.95,33523.16,WoodCraft,Wardrobe,East,13036.78,SC002,P0008
2023-01-01,Electronics,R3,5,Retail,328194.59,262555.67,TechPro,Laptop X,East,65638.92,SC003,P0003
2023-01-01,Accessories,R1,1,Distributor,1441.27,936.83,ChargeFast,Power Bank,North,504.45,SC001,P0005
2023-01-01,Furniture,R2,2,Online,12730.66,9548.0,HomeEase,Office Chair,South,3182.67,SC002,P0004
2023-01-02,Electronics,R1,4,Online,120341.63,98680.13,TechPro,Smartphone Z,North,21661.49,SC002,P0006
2023-01-02,Furniture,R4,1,Retail,22825.26,16434.19,WoodCraft,Wardrobe,West,6391.07,SC003,P0008
2023-01-02,Accessories,R2,2,Online,2758.6,1793.09,ChargeFast,Power Bank,South,965.51,SC002,P0005
2023-01-02,Furniture,R3,3,Online,81139.81,58420.66,WoodCraft,Wardrobe,East,22719.15,SC002,P0008
2023-01-02,Electronics,R2,4,Online,112436.51,92197.94,TechPro,Smartphone Z,South,20238.57,SC002,P0006
2023-01-03,Accessories,R4,4,Retail,5454.27,3545.28,ChargeFast,Power Bank,West,1909.0,SC003,P0005
2023-01-03,Electronics,R2,2,Retail,131166.13,104932.9,TechPro,Laptop X,South,26233.23,SC003,P0003
2023-01-03,Furniture,R1,1,Retail,6321.89,4741.42,HomeEase,Office Chair,North,1580.47,SC003,P0004
2023-01-03,Electronics,R1,3,Online,169158.33,135326.66,TechPro,Laptop X,North,33831.67,SC002,P0003
2023-01-04,Furniture,R3,2,Distributor,12924.43,9693.33,HomeEase,Office Chair,East,3231.11,SC001,P0004
2023-01-04,Accessories,R2,5,Online,7844.41,5098.87,ChargeFast,Power Bank,South,2745.54,SC002,P0005
2023-01-04,Furniture,R2,3,Online,78911.78,56816.48,WoodCraft,Wardrobe,South,22095.3,SC002,P0008
2023-01-04,Furniture,R2,2,Online,45254.19,32583.02,WoodCraft,Wardrobe,South,12671.17,SC002,P0008
